instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
59586311,232759,CRUDEOILSEP21NOV21FUT,CRUDEOIL,0.0,2021-09-20,0.0,1.0,1,FUT,MCX-FUT,MCX
59307783,231671,CRUDEOILSEP21OCT21FUT,CRUDEOIL,0.0,2021-09-20,0.0,1.0,1,FUT,MCX-FUT,MCX
57976071,226469,GOLD21DECFUT,GOLD,0.0,2021-12-03,0.0,1.0,1,FUT,MCX-FUT,MCX
57680391,225314,GOLD21OCTFUT,GOLD,0.0,2021-10-05,0.0,1.0,1,FUT,MCX-FUT,MCX
58647303,229091,GOLD22APRFUT,GOLD,0.0,2022-04-05,0.0,1.0,1,FUT,MCX-FUT,MCX
59549447,232615,GOLD22AUGFUT,GOLD,0.0,2022-08-05,0.0,1.0,1,FUT,MCX-FUT,MCX
58322439,227822,GOLD22FEBFUT,GOLD,0.0,2022-02-04,0.0,1.0,1,FUT,MCX-FUT,MCX
58996487,230455,GOLD22JUNFUT,GOLD,0.0,2022-06-03,0.0,1.0,1,FUT,MCX-FUT,MCX
59421703,232116,GOLDDEC21FEB22FUT,GOLD,0.0,2021-12-03,0.0,1.0,1,FUT,MCX-FUT,MCX
59626759,232917,GOLDGUINEA21DECFUT,GOLDGUINEA,0.0,2021-12-31,0.0,1.0,1,FUT,MCX-FUT,MCX
59388935,231988,GOLDGUINEA21NOVFUT,GOLDGUINEA,0.0,2021-11-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59089415,230818,GOLDGUINEA21OCTFUT,GOLDGUINEA,0.0,2021-10-29,0.0,1.0,1,FUT,MCX-FUT,MCX
58926599,230182,GOLDGUINEA21SEPFUT,GOLDGUINEA,0.0,2021-09-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59648007,233000,GOLDM21DECFUT,GOLDM,0.0,2021-12-03,0.0,1.0,1,FUT,MCX-FUT,MCX
59421191,232114,GOLDM21NOVFUT,GOLDM,0.0,2021-11-03,0.0,1.0,1,FUT,MCX-FUT,MCX
59110919,230902,GOLDM21OCTFUT,GOLDM,0.0,2021-10-05,0.0,1.0,1,FUT,MCX-FUT,MCX
59648775,233003,GOLDMNOV21DEC21FUT,GOLDM,0.0,2021-11-03,0.0,1.0,1,FUT,MCX-FUT,MCX
59649031,233004,GOLDMOCT21DEC21FUT,GOLDM,0.0,2021-10-05,0.0,1.0,1,FUT,MCX-FUT,MCX
59424263,232126,GOLDMOCT21NOV21FUT,GOLDM,0.0,2021-10-05,0.0,1.0,1,FUT,MCX-FUT,MCX
58963207,230325,GOLDOCT21DEC21FUT,GOLD,0.0,2021-10-05,0.0,1.0,1,FUT,MCX-FUT,MCX
59421447,232115,GOLDOCT21FEB22FUT,GOLD,0.0,2021-10-05,0.0,1.0,1,FUT,MCX-FUT,MCX
59627015,232918,GOLDPETAL21DECFUT,GOLDPETAL,0.0,2021-12-31,0.0,1.0,1,FUT,MCX-FUT,MCX
59389191,231989,GOLDPETAL21NOVFUT,GOLDPETAL,0.0,2021-11-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59089671,230819,GOLDPETAL21OCTFUT,GOLDPETAL,0.0,2021-10-29,0.0,1.0,1,FUT,MCX-FUT,MCX
58927111,230184,GOLDPETAL21SEPFUT,GOLDPETAL,0.0,2021-09-30,0.0,1.0,1,FUT,MCX-FUT,MCX
57745159,225567,KAPAS21NOVFUT,KAPAS,0.0,2021-11-30,0.0,0.5,1,FUT,MCX-FUT,MCX
58586119,228852,KAPAS22APRFUT,KAPAS,0.0,2022-04-29,0.0,0.5,1,FUT,MCX-FUT,MCX
58157831,227179,KAPAS22FEBFUT,KAPAS,0.0,2022-02-28,0.0,0.5,1,FUT,MCX-FUT,MCX
59423239,232122,LEAD21DECFUT,LEAD,0.0,2021-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59090183,230821,LEAD21NOVFUT,LEAD,0.0,2021-11-30,0.0,0.05,1,FUT,MCX-FUT,MCX
58927623,230186,LEAD21OCTFUT,LEAD,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
58733831,229429,LEAD21SEPFUT,LEAD,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59625479,232912,LEAD22JANFUT,LEAD,0.0,2022-01-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59623431,232904,LEADOCT21NOV21FUT,LEAD,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
59623175,232903,LEADSEP21NOV21FUT,LEAD,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59421959,232117,LEADSEP21OCT21FUT,LEAD,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59586055,232758,MCXBULLDEX21NOVFUT,MCXBULLDEX,0.0,2021-11-24,0.0,1.0,1,FUT,MCX-FUT,MCX
59307015,231668,MCXBULLDEX21OCTFUT,MCXBULLDEX,0.0,2021-10-25,0.0,1.0,1,FUT,MCX-FUT,MCX
59052551,230674,MCXBULLDEX21SEPFUT,MCXBULLDEX,0.0,2021-09-24,0.0,1.0,1,FUT,MCX-FUT,MCX
59657991,233039,MCXMETLDEX21DECFUT,MCXMETLDEX,0.0,2021-12-22,0.0,1.0,1,FUT,MCX-FUT,MCX
59549703,232616,MCXMETLDEX21NOVFUT,MCXMETLDEX,0.0,2021-11-18,0.0,1.0,1,FUT,MCX-FUT,MCX
59144967,231035,MCXMETLDEX21OCTFUT,MCXMETLDEX,0.0,2021-10-20,0.0,1.0,1,FUT,MCX-FUT,MCX
58995719,230452,MCXMETLDEX21SEPFUT,MCXMETLDEX,0.0,2021-09-21,0.0,1.0,1,FUT,MCX-FUT,MCX
59089927,230820,MENTHAOIL21DECFUT,MENTHAOIL,0.0,2021-12-31,0.0,0.1,1,FUT,MCX-FUT,MCX
58930695,230198,MENTHAOIL21NOVFUT,MENTHAOIL,0.0,2021-11-30,0.0,0.1,1,FUT,MCX-FUT,MCX
58930439,230197,MENTHAOIL21OCTFUT,MENTHAOIL,0.0,2021-10-29,0.0,0.1,1,FUT,MCX-FUT,MCX
58585607,228850,MENTHAOIL21SEPFUT,MENTHAOIL,0.0,2021-09-30,0.0,0.1,1,FUT,MCX-FUT,MCX
59626247,232915,MENTHAOIL22FEBFUT,MENTHAOIL,0.0,2022-02-28,0.0,0.1,1,FUT,MCX-FUT,MCX
59389447,231990,MENTHAOIL22JANFUT,MENTHAOIL,0.0,2022-01-31,0.0,0.1,1,FUT,MCX-FUT,MCX
59619591,232889,NATURALGAS21NOVFUT,NATURALGAS,0.0,2021-11-24,0.0,0.1,1,FUT,MCX-FUT,MCX
59362823,231886,NATURALGAS21OCTFUT,NATURALGAS,0.0,2021-10-26,0.0,0.1,1,FUT,MCX-FUT,MCX
59079943,230781,NATURALGAS21SEPFUT,NATURALGAS,0.0,2021-09-27,0.0,0.1,1,FUT,MCX-FUT,MCX
59423495,232123,NICKEL21DECFUT,NICKEL,0.0,2021-12-31,0.0,0.1,1,FUT,MCX-FUT,MCX
59090439,230822,NICKEL21NOVFUT,NICKEL,0.0,2021-11-30,0.0,0.1,1,FUT,MCX-FUT,MCX
58929415,230193,NICKEL21OCTFUT,NICKEL,0.0,2021-10-29,0.0,0.1,1,FUT,MCX-FUT,MCX
58733319,229427,NICKEL21SEPFUT,NICKEL,0.0,2021-09-30,0.0,0.1,1,FUT,MCX-FUT,MCX
59625991,232914,NICKEL22JANFUT,NICKEL,0.0,2022-01-31,0.0,0.1,1,FUT,MCX-FUT,MCX
59623943,232906,NICKELOCT21NOV21FUT,NICKEL,0.0,2021-10-29,0.0,0.1,1,FUT,MCX-FUT,MCX
59623687,232905,NICKELSEP21NOV21FUT,NICKEL,0.0,2021-09-30,0.0,0.1,1,FUT,MCX-FUT,MCX
59422471,232119,NICKELSEP21OCT21FUT,NICKEL,0.0,2021-09-30,0.0,0.1,1,FUT,MCX-FUT,MCX
59389959,231992,RUBBER21DECFUT,RUBBER,0.0,2021-12-31,0.0,1.0,1,FUT,MCX-FUT,MCX
59090695,230823,RUBBER21NOVFUT,RUBBER,0.0,2021-11-30,0.0,1.0,1,FUT,MCX-FUT,MCX
58930183,230196,RUBBER21OCTFUT,RUBBER,0.0,2021-10-29,0.0,1.0,1,FUT,MCX-FUT,MCX
58730759,229417,RUBBER21SEPFUT,RUBBER,0.0,2021-09-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59658247,233040,RUBBER22JANFUT,RUBBER,0.0,2022-01-31,0.0,1.0,1,FUT,MCX-FUT,MCX
57976583,226471,SILVER21DECFUT,SILVER,0.0,2021-12-03,0.0,1.0,1,FUT,MCX-FUT,MCX
59145479,231037,SILVER22JULFUT,SILVER,0.0,2022-07-05,0.0,1.0,1,FUT,MCX-FUT,MCX
58545159,228692,SILVER22MARFUT,SILVER,0.0,2022-03-04,0.0,1.0,1,FUT,MCX-FUT,MCX
58843655,229858,SILVER22MAYFUT,SILVER,0.0,2022-05-05,0.0,1.0,1,FUT,MCX-FUT,MCX
59658503,233041,SILVER22SEPFUT,SILVER,0.0,2022-09-05,0.0,1.0,1,FUT,MCX-FUT,MCX
59111431,230904,SILVERDEC21MAR22FUT,SILVER,0.0,2021-12-03,0.0,1.0,1,FUT,MCX-FUT,MCX
59648263,233001,SILVERDEC21MAY22FUT,SILVER,0.0,2021-12-03,0.0,1.0,1,FUT,MCX-FUT,MCX
57680647,225315,SILVERM21NOVFUT,SILVERM,0.0,2021-11-30,0.0,1.0,1,FUT,MCX-FUT,MCX
58843911,229859,SILVERM22APRFUT,SILVERM,0.0,2022-04-29,0.0,1.0,1,FUT,MCX-FUT,MCX
59658759,233042,SILVERM22AUGFUT,SILVERM,0.0,2022-08-31,0.0,1.0,1,FUT,MCX-FUT,MCX
58545415,228693,SILVERM22FEBFUT,SILVERM,0.0,2022-02-28,0.0,1.0,1,FUT,MCX-FUT,MCX
59145223,231036,SILVERM22JUNFUT,SILVERM,0.0,2022-06-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59648519,233002,SILVERMAR22MAY22FUT,SILVER,0.0,2022-03-04,0.0,1.0,1,FUT,MCX-FUT,MCX
59621895,232898,SILVERMFEB22APR22FUT,SILVERM,0.0,2022-02-28,0.0,1.0,1,FUT,MCX-FUT,MCX
58425607,228225,SILVERMIC21NOVFUT,SILVERMIC,0.0,2021-11-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59390215,231993,SILVERMIC22APRFUT,SILVERMIC,0.0,2022-04-29,0.0,1.0,1,FUT,MCX-FUT,MCX
58929927,230195,SILVERMIC22FEBFUT,SILVERMIC,0.0,2022-02-28,0.0,1.0,1,FUT,MCX-FUT,MCX
59621383,232896,SILVERMNOV21APR22FUT,SILVERM,0.0,2021-11-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59084551,230799,SILVERMNOV21FEB22FUT,SILVERM,0.0,2021-11-30,0.0,1.0,1,FUT,MCX-FUT,MCX
59423751,232124,ZINC21DECFUT,ZINC,0.0,2021-12-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59086087,230805,ZINC21NOVFUT,ZINC,0.0,2021-11-30,0.0,0.05,1,FUT,MCX-FUT,MCX
58927879,230187,ZINC21OCTFUT,ZINC,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
58729991,229414,ZINC21SEPFUT,ZINC,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59626503,232916,ZINC22JANFUT,ZINC,0.0,2022-01-31,0.0,0.05,1,FUT,MCX-FUT,MCX
59624711,232909,ZINCOCT21NOV21FUT,ZINC,0.0,2021-10-29,0.0,0.05,1,FUT,MCX-FUT,MCX
59624455,232908,ZINCSEP21NOV21FUT,ZINC,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59422983,232121,ZINCSEP21OCT21FUT,ZINC,0.0,2021-09-30,0.0,0.05,1,FUT,MCX-FUT,MCX
59642887,232980,COPPER21DEC680CE,COPPER,0.0,2021-12-22,680.0,0.01,1,CE,MCX-OPT,MCX
59643143,232981,COPPER21DEC680PE,COPPER,0.0,2021-12-22,680.0,0.01,1,PE,MCX-OPT,MCX
59643399,232982,COPPER21DEC685CE,COPPER,0.0,2021-12-22,685.0,0.01,1,CE,MCX-OPT,MCX
59643655,232983,COPPER21DEC685PE,COPPER,0.0,2021-12-22,685.0,0.01,1,PE,MCX-OPT,MCX
59627527,232920,COPPER21DEC690CE,COPPER,0.0,2021-12-22,690.0,0.01,1,CE,MCX-OPT,MCX
59627783,232921,COPPER21DEC690PE,COPPER,0.0,2021-12-22,690.0,0.01,1,PE,MCX-OPT,MCX
59628039,232922,COPPER21DEC695CE,COPPER,0.0,2021-12-22,695.0,0.01,1,CE,MCX-OPT,MCX
59628295,232923,COPPER21DEC695PE,COPPER,0.0,2021-12-22,695.0,0.01,1,PE,MCX-OPT,MCX
59628551,232924,COPPER21DEC700CE,COPPER,0.0,2021-12-22,700.0,0.01,1,CE,MCX-OPT,MCX
59628807,232925,COPPER21DEC700PE,COPPER,0.0,2021-12-22,700.0,0.01,1,PE,MCX-OPT,MCX
59629063,232926,COPPER21DEC705CE,COPPER,0.0,2021-12-22,705.0,0.01,1,CE,MCX-OPT,MCX
59629319,232927,COPPER21DEC705PE,COPPER,0.0,2021-12-22,705.0,0.01,1,PE,MCX-OPT,MCX
59629575,232928,COPPER21DEC710CE,COPPER,0.0,2021-12-22,710.0,0.01,1,CE,MCX-OPT,MCX
59629831,232929,COPPER21DEC710PE,COPPER,0.0,2021-12-22,710.0,0.01,1,PE,MCX-OPT,MCX
59630087,232930,COPPER21DEC715CE,COPPER,0.0,2021-12-22,715.0,0.01,1,CE,MCX-OPT,MCX
59630343,232931,COPPER21DEC715PE,COPPER,0.0,2021-12-22,715.0,0.01,1,PE,MCX-OPT,MCX
59630599,232932,COPPER21DEC720CE,COPPER,0.0,2021-12-22,720.0,0.01,1,CE,MCX-OPT,MCX
59630855,232933,COPPER21DEC720PE,COPPER,0.0,2021-12-22,720.0,0.01,1,PE,MCX-OPT,MCX
59631111,232934,COPPER21DEC725CE,COPPER,0.0,2021-12-22,725.0,0.01,1,CE,MCX-OPT,MCX
59631367,232935,COPPER21DEC725PE,COPPER,0.0,2021-12-22,725.0,0.01,1,PE,MCX-OPT,MCX
59631623,232936,COPPER21DEC730CE,COPPER,0.0,2021-12-22,730.0,0.01,1,CE,MCX-OPT,MCX
59631879,232937,COPPER21DEC730PE,COPPER,0.0,2021-12-22,730.0,0.01,1,PE,MCX-OPT,MCX
59632135,232938,COPPER21DEC735CE,COPPER,0.0,2021-12-22,735.0,0.01,1,CE,MCX-OPT,MCX
59632391,232939,COPPER21DEC735PE,COPPER,0.0,2021-12-22,735.0,0.01,1,PE,MCX-OPT,MCX
59632647,232940,COPPER21DEC740CE,COPPER,0.0,2021-12-22,740.0,0.01,1,CE,MCX-OPT,MCX
59632903,232941,COPPER21DEC740PE,COPPER,0.0,2021-12-22,740.0,0.01,1,PE,MCX-OPT,MCX
59633159,232942,COPPER21DEC745CE,COPPER,0.0,2021-12-22,745.0,0.01,1,CE,MCX-OPT,MCX
59633415,232943,COPPER21DEC745PE,COPPER,0.0,2021-12-22,745.0,0.01,1,PE,MCX-OPT,MCX
59633671,232944,COPPER21DEC750CE,COPPER,0.0,2021-12-22,750.0,0.01,1,CE,MCX-OPT,MCX
59633927,232945,COPPER21DEC750PE,COPPER,0.0,2021-12-22,750.0,0.01,1,PE,MCX-OPT,MCX
59634183,232946,COPPER21DEC755CE,COPPER,0.0,2021-12-22,755.0,0.01,1,CE,MCX-OPT,MCX
59634439,232947,COPPER21DEC755PE,COPPER,0.0,2021-12-22,755.0,0.01,1,PE,MCX-OPT,MCX
59634695,232948,COPPER21DEC760CE,COPPER,0.0,2021-12-22,760.0,0.01,1,CE,MCX-OPT,MCX
59634951,232949,COPPER21DEC760PE,COPPER,0.0,2021-12-22,760.0,0.01,1,PE,MCX-OPT,MCX
59655431,233029,COPPER21DEC765CE,COPPER,0.0,2021-12-22,765.0,0.01,1,CE,MCX-OPT,MCX
59655687,233030,COPPER21DEC765PE,COPPER,0.0,2021-12-22,765.0,0.01,1,PE,MCX-OPT,MCX
59655943,233031,COPPER21DEC770CE,COPPER,0.0,2021-12-22,770.0,0.01,1,CE,MCX-OPT,MCX
59656199,233032,COPPER21DEC770PE,COPPER,0.0,2021-12-22,770.0,0.01,1,PE,MCX-OPT,MCX
59656455,233033,COPPER21DEC775CE,COPPER,0.0,2021-12-22,775.0,0.01,1,CE,MCX-OPT,MCX
59656711,233034,COPPER21DEC775PE,COPPER,0.0,2021-12-22,775.0,0.01,1,PE,MCX-OPT,MCX
59593991,232789,COPPER21NOV655CE,COPPER,0.0,2021-11-19,655.0,0.01,1,CE,MCX-OPT,MCX
59594247,232790,COPPER21NOV655PE,COPPER,0.0,2021-11-19,655.0,0.01,1,PE,MCX-OPT,MCX
59594503,232791,COPPER21NOV660CE,COPPER,0.0,2021-11-19,660.0,0.01,1,CE,MCX-OPT,MCX
59594759,232792,COPPER21NOV660PE,COPPER,0.0,2021-11-19,660.0,0.01,1,PE,MCX-OPT,MCX
59595015,232793,COPPER21NOV665CE,COPPER,0.0,2021-11-19,665.0,0.01,1,CE,MCX-OPT,MCX
59595271,232794,COPPER21NOV665PE,COPPER,0.0,2021-11-19,665.0,0.01,1,PE,MCX-OPT,MCX
59584263,232751,COPPER21NOV670CE,COPPER,0.0,2021-11-19,670.0,0.01,1,CE,MCX-OPT,MCX
59584519,232752,COPPER21NOV670PE,COPPER,0.0,2021-11-19,670.0,0.01,1,PE,MCX-OPT,MCX
59584775,232753,COPPER21NOV675CE,COPPER,0.0,2021-11-19,675.0,0.01,1,CE,MCX-OPT,MCX
59585031,232754,COPPER21NOV675PE,COPPER,0.0,2021-11-19,675.0,0.01,1,PE,MCX-OPT,MCX
59585287,232755,COPPER21NOV680CE,COPPER,0.0,2021-11-19,680.0,0.01,1,CE,MCX-OPT,MCX
59585543,232756,COPPER21NOV680PE,COPPER,0.0,2021-11-19,680.0,0.01,1,PE,MCX-OPT,MCX
59578119,232727,COPPER21NOV685CE,COPPER,0.0,2021-11-19,685.0,0.01,1,CE,MCX-OPT,MCX
59578375,232728,COPPER21NOV685PE,COPPER,0.0,2021-11-19,685.0,0.01,1,PE,MCX-OPT,MCX
59578631,232729,COPPER21NOV690CE,COPPER,0.0,2021-11-19,690.0,0.01,1,CE,MCX-OPT,MCX
59578887,232730,COPPER21NOV690PE,COPPER,0.0,2021-11-19,690.0,0.01,1,PE,MCX-OPT,MCX
59579143,232731,COPPER21NOV695CE,COPPER,0.0,2021-11-19,695.0,0.01,1,CE,MCX-OPT,MCX
59579399,232732,COPPER21NOV695PE,COPPER,0.0,2021-11-19,695.0,0.01,1,PE,MCX-OPT,MCX
59519751,232499,COPPER21NOV700CE,COPPER,0.0,2021-11-19,700.0,0.01,1,CE,MCX-OPT,MCX
59520007,232500,COPPER21NOV700PE,COPPER,0.0,2021-11-19,700.0,0.01,1,PE,MCX-OPT,MCX
59420679,232112,COPPER21NOV705CE,COPPER,0.0,2021-11-19,705.0,0.01,1,CE,MCX-OPT,MCX
59420935,232113,COPPER21NOV705PE,COPPER,0.0,2021-11-19,705.0,0.01,1,PE,MCX-OPT,MCX
59413511,232084,COPPER21NOV710CE,COPPER,0.0,2021-11-19,710.0,0.01,1,CE,MCX-OPT,MCX
59413767,232085,COPPER21NOV710PE,COPPER,0.0,2021-11-19,710.0,0.01,1,PE,MCX-OPT,MCX
59411463,232076,COPPER21NOV715CE,COPPER,0.0,2021-11-19,715.0,0.01,1,CE,MCX-OPT,MCX
59411719,232077,COPPER21NOV715PE,COPPER,0.0,2021-11-19,715.0,0.01,1,PE,MCX-OPT,MCX
59411975,232078,COPPER21NOV720CE,COPPER,0.0,2021-11-19,720.0,0.01,1,CE,MCX-OPT,MCX
59412231,232079,COPPER21NOV720PE,COPPER,0.0,2021-11-19,720.0,0.01,1,PE,MCX-OPT,MCX
59396103,232016,COPPER21NOV725CE,COPPER,0.0,2021-11-19,725.0,0.01,1,CE,MCX-OPT,MCX
59396359,232017,COPPER21NOV725PE,COPPER,0.0,2021-11-19,725.0,0.01,1,PE,MCX-OPT,MCX
59396615,232018,COPPER21NOV730CE,COPPER,0.0,2021-11-19,730.0,0.01,1,CE,MCX-OPT,MCX
59396871,232019,COPPER21NOV730PE,COPPER,0.0,2021-11-19,730.0,0.01,1,PE,MCX-OPT,MCX
59397127,232020,COPPER21NOV735CE,COPPER,0.0,2021-11-19,735.0,0.01,1,CE,MCX-OPT,MCX
59397383,232021,COPPER21NOV735PE,COPPER,0.0,2021-11-19,735.0,0.01,1,PE,MCX-OPT,MCX
59397639,232022,COPPER21NOV740CE,COPPER,0.0,2021-11-19,740.0,0.01,1,CE,MCX-OPT,MCX
59397895,232023,COPPER21NOV740PE,COPPER,0.0,2021-11-19,740.0,0.01,1,PE,MCX-OPT,MCX
59398151,232024,COPPER21NOV745CE,COPPER,0.0,2021-11-19,745.0,0.01,1,CE,MCX-OPT,MCX
59398407,232025,COPPER21NOV745PE,COPPER,0.0,2021-11-19,745.0,0.01,1,PE,MCX-OPT,MCX
59398663,232026,COPPER21NOV750CE,COPPER,0.0,2021-11-19,750.0,0.01,1,CE,MCX-OPT,MCX
59398919,232027,COPPER21NOV750PE,COPPER,0.0,2021-11-19,750.0,0.01,1,PE,MCX-OPT,MCX
59399175,232028,COPPER21NOV755CE,COPPER,0.0,2021-11-19,755.0,0.01,1,CE,MCX-OPT,MCX
59399431,232029,COPPER21NOV755PE,COPPER,0.0,2021-11-19,755.0,0.01,1,PE,MCX-OPT,MCX
59399687,232030,COPPER21NOV760CE,COPPER,0.0,2021-11-19,760.0,0.01,1,CE,MCX-OPT,MCX
